InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-536384,PROD-003,USB-C Hub,3,03-01-2025 16:28,35,CUST-1126,Germany
INV-536384,PROD-004,27-inch Monitor,1,03-01-2025 16:28,249.99,CUST-1126,Germany
INV-536384,PROD-008,Laptop Stand,2,03-01-2025 16:28,29.99,CUST-1126,Germany
INV-536385,PROD-007,Ergonomic Office Chair,3,03-01-2025 16:36,199,CUST-1014,United Kingdom
INV-536386,PROD-007,Ergonomic Office Chair,2,03-01-2025 17:23,199,CUST-1141,France
INV-536386,PROD-001,Wireless Mouse,3,03-01-2025 17:23,25,CUST-1141,France
INV-536387,PROD-003,USB-C Hub,1,04-01-2025 09:34,35,CUST-1029,France
INV-536387,PROD-004,27-inch Monitor,1,04-01-2025 09:34,249.99,CUST-1029,France
INV-536388,PROD-008,Laptop Stand,1,04-01-2025 10:22,29.99,CUST-1022,France
INV-536388,PROD-001,Wireless Mouse,3,04-01-2025 10:22,25,CUST-1022,France
INV-536388,PROD-006,Desk Mat,2,04-01-2025 10:22,15.5,CUST-1022,France
INV-536388,PROD-003,USB-C Hub,3,04-01-2025 10:22,35,CUST-1022,France
INV-536389,PROD-006,Desk Mat,1,04-01-2025 10:41,15.5,CUST-1103,France
INV-536389,PROD-003,USB-C Hub,3,04-01-2025 10:41,35,CUST-1103,France
INV-536389,PROD-005,Bluetooth Headphones,1,04-01-2025 10:41,59.99,CUST-1103,France
INV-536390,PROD-001,Wireless Mouse,3,04-01-2025 13:36,25,CUST-1180,United Kingdom
INV-536390,PROD-004,27-inch Monitor,3,04-01-2025 13:36,249.99,CUST-1180,United Kingdom
INV-536391,PROD-001,Wireless Mouse,1,04-01-2025 13:59,25,CUST-1007,United Kingdom
INV-536391,PROD-003,USB-C Hub,3,04-01-2025 13:59,35,CUST-1007,United Kingdom
INV-536391,PROD-008,Laptop Stand,2,04-01-2025 13:59,29.99,CUST-1007,United Kingdom
INV-536391,PROD-002,Mechanical Keyboard,3,04-01-2025 13:59,85,CUST-1007,United Kingdom
INV-536392,PROD-001,Wireless Mouse,4,04-01-2025 14:53,25,CUST-1075,United Kingdom
INV-536392,PROD-007,Ergonomic Office Chair,8,04-01-2025 14:53,199,CUST-1075,United Kingdom
INV-536392,PROD-008,Laptop Stand,8,04-01-2025 14:53,29.99,CUST-1075,United Kingdom
INV-536392,PROD-006,Desk Mat,4,04-01-2025 14:53,15.5,CUST-1075,United Kingdom
INV-536393,PROD-007,Ergonomic Office Chair,2,04-01-2025 15:05,199,CUST-1108,United Kingdom
INV-536393,PROD-002,Mechanical Keyboard,3,04-01-2025 15:05,85,CUST-1108,United Kingdom
INV-536393,PROD-004,27-inch Monitor,1,04-01-2025 15:05,249.99,CUST-1108,United Kingdom
INV-536393,PROD-005,Bluetooth Headphones,2,04-01-2025 15:05,59.99,CUST-1108,United Kingdom
INV-536394,PROD-003,USB-C Hub,3,04-01-2025 16:15,35,CUST-1069,United Kingdom
INV-536394,PROD-007,Ergonomic Office Chair,1,04-01-2025 16:15,199,CUST-1069,United Kingdom
INV-536394,PROD-005,Bluetooth Headphones,2,04-01-2025 16:15,59.99,CUST-1069,United Kingdom
INV-536394,PROD-006,Desk Mat,3,04-01-2025 16:15,15.5,CUST-1069,United Kingdom
INV-536395,PROD-007,Ergonomic Office Chair,14,04-01-2025 17:51,199,CUST-1150,United Kingdom
INV-536396,PROD-005,Bluetooth Headphones,15,05-01-2025 09:53,59.99,CUST-1010,France
INV-536396,PROD-006,Desk Mat,15,05-01-2025 09:53,15.5,CUST-1010,France
INV-536397,PROD-003,USB-C Hub,3,05-01-2025 10:21,35,CUST-1085,United Kingdom
INV-536398,PROD-001,Wireless Mouse,1,05-01-2025 11:33,25,CUST-1031,United Kingdom
INV-536399,PROD-008,Laptop Stand,2,05-01-2025 15:13,29.99,CUST-1001,United Kingdom
INV-536399,PROD-005,Bluetooth Headphones,1,05-01-2025 15:13,59.99,CUST-1001,United Kingdom
INV-536399,PROD-004,27-inch Monitor,2,05-01-2025 15:13,249.99,CUST-1001,United Kingdom
INV-536399,PROD-002,Mechanical Keyboard,3,05-01-2025 15:13,85,CUST-1001,United Kingdom
INV-536400,PROD-004,27-inch Monitor,3,05-01-2025 15:55,249.99,CUST-1109,United Kingdom
INV-536401,PROD-006,Desk Mat,3,06-01-2025 16:47,15.5,CUST-1154,France
INV-536401,PROD-005,Bluetooth Headphones,2,06-01-2025 16:47,59.99,CUST-1154,France
INV-536401,PROD-008,Laptop Stand,1,06-01-2025 16:47,29.99,CUST-1154,France
INV-536401,PROD-007,Ergonomic Office Chair,2,06-01-2025 16:47,199,CUST-1154,France
INV-536402,PROD-004,27-inch Monitor,18,07-01-2025 09:05,249.99,CUST-1180,United Kingdom
INV-536402,PROD-007,Ergonomic Office Chair,12,07-01-2025 09:05,199,CUST-1180,United Kingdom
INV-536403,PROD-006,Desk Mat,1,07-01-2025 09:08,15.5,CUST-1068,Germany
INV-536403,PROD-007,Ergonomic Office Chair,3,07-01-2025 09:08,199,CUST-1068,Germany
INV-536404,PROD-005,Bluetooth Headphones,10,07-01-2025 09:38,59.99,CUST-1195,France
INV-536404,PROD-001,Wireless Mouse,10,07-01-2025 09:38,25,CUST-1195,France
INV-536404,PROD-004,27-inch Monitor,15,07-01-2025 09:38,249.99,CUST-1195,France
INV-536404,PROD-002,Mechanical Keyboard,5,07-01-2025 09:38,85,CUST-1195,France
INV-536405,PROD-001,Wireless Mouse,3,07-01-2025 09:56,25,CUST-1043,United Kingdom
INV-536406,PROD-007,Ergonomic Office Chair,18,07-01-2025 11:38,199,CUST-1020,France
INV-536406,PROD-006,Desk Mat,12,07-01-2025 11:38,15.5,CUST-1020,France
INV-536406,PROD-004,27-inch Monitor,18,07-01-2025 11:38,249.99,CUST-1020,France
INV-536407,PROD-006,Desk Mat,12,07-01-2025 12:13,15.5,CUST-1080,United Kingdom
INV-536407,PROD-001,Wireless Mouse,18,07-01-2025 12:13,25,CUST-1080,United Kingdom
INV-536407,PROD-002,Mechanical Keyboard,18,07-01-2025 12:13,85,CUST-1080,United Kingdom
INV-536408,PROD-008,Laptop Stand,12,07-01-2025 12:36,29.99,CUST-1165,United Kingdom
INV-536409,PROD-005,Bluetooth Headphones,9,07-01-2025 12:56,59.99,CUST-1055,Germany
INV-536409,PROD-002,Mechanical Keyboard,6,07-01-2025 12:56,85,CUST-1055,Germany
INV-536409,PROD-003,USB-C Hub,6,07-01-2025 12:56,35,CUST-1055,Germany
INV-536410,PROD-002,Mechanical Keyboard,3,07-01-2025 16:05,85,CUST-1106,United Kingdom
INV-536410,PROD-005,Bluetooth Headphones,3,07-01-2025 16:05,59.99,CUST-1106,United Kingdom
INV-536410,PROD-007,Ergonomic Office Chair,2,07-01-2025 16:05,199,CUST-1106,United Kingdom
INV-536411,PROD-002,Mechanical Keyboard,2,08-01-2025 09:34,85,CUST-1001,France
INV-536411,PROD-005,Bluetooth Headphones,2,08-01-2025 09:34,59.99,CUST-1001,France
INV-536411,PROD-007,Ergonomic Office Chair,2,08-01-2025 09:34,199,CUST-1001,France
INV-536412,PROD-003,USB-C Hub,1,08-01-2025 10:20,35,CUST-1119,United Kingdom
INV-536412,PROD-002,Mechanical Keyboard,3,08-01-2025 10:20,85,CUST-1119,United Kingdom
INV-536413,PROD-003,USB-C Hub,2,08-01-2025 10:43,35,CUST-1037,France
INV-536413,PROD-001,Wireless Mouse,1,08-01-2025 10:43,25,CUST-1037,France
INV-536413,PROD-002,Mechanical Keyboard,1,08-01-2025 10:43,85,CUST-1037,France
INV-536413,PROD-008,Laptop Stand,2,08-01-2025 10:43,29.99,CUST-1037,France
INV-536414,PROD-003,USB-C Hub,3,08-01-2025 10:51,35,CUST-1053,United Kingdom
INV-536414,PROD-005,Bluetooth Headphones,2,08-01-2025 10:51,59.99,CUST-1053,United Kingdom
INV-536414,PROD-006,Desk Mat,1,08-01-2025 10:51,15.5,CUST-1053,United Kingdom
INV-536414,PROD-001,Wireless Mouse,1,08-01-2025 10:51,25,CUST-1053,United Kingdom
INV-536415,PROD-004,27-inch Monitor,3,08-01-2025 11:46,249.99,CUST-1036,France
INV-536415,PROD-003,USB-C Hub,1,08-01-2025 11:46,35,CUST-1036,France
INV-536415,PROD-002,Mechanical Keyboard,1,08-01-2025 11:46,85,CUST-1036,France
INV-536415,PROD-008,Laptop Stand,3,08-01-2025 11:46,29.99,CUST-1036,France
INV-536416,PROD-007,Ergonomic Office Chair,3,08-01-2025 12:09,199,CUST-1091,France
INV-536417,PROD-007,Ergonomic Office Chair,1,08-01-2025 12:28,199,CUST-1112,United Kingdom
INV-536417,PROD-002,Mechanical Keyboard,3,08-01-2025 12:28,85,CUST-1112,United Kingdom
INV-536417,PROD-008,Laptop Stand,3,08-01-2025 12:28,29.99,CUST-1112,United Kingdom
INV-536418,PROD-006,Desk Mat,2,08-01-2025 12:47,15.5,CUST-1079,France
INV-536419,PROD-006,Desk Mat,12,08-01-2025 13:12,15.5,CUST-1010,United Kingdom
INV-536420,PROD-004,27-inch Monitor,1,08-01-2025 13:31,249.99,CUST-1129,Germany
INV-536420,PROD-002,Mechanical Keyboard,1,08-01-2025 13:31,85,CUST-1129,Germany
INV-536421,PROD-003,USB-C Hub,7,08-01-2025 14:49,35,CUST-1015,United Kingdom
INV-536422,PROD-006,Desk Mat,5,08-01-2025 15:46,15.5,CUST-1065,Germany
INV-536423,PROD-005,Bluetooth Headphones,1,09-01-2025 09:32,59.99,CUST-1191,United Kingdom
INV-536423,PROD-001,Wireless Mouse,2,09-01-2025 09:32,25,CUST-1191,United Kingdom
INV-536424,PROD-006,Desk Mat,2,09-01-2025 11:51,15.5,CUST-1144,United Kingdom
INV-536424,PROD-008,Laptop Stand,1,09-01-2025 11:51,29.99,CUST-1144,United Kingdom
INV-536424,PROD-007,Ergonomic Office Chair,2,09-01-2025 11:51,199,CUST-1144,United Kingdom
INV-536424,PROD-003,USB-C Hub,3,09-01-2025 11:51,35,CUST-1144,United Kingdom
INV-536425,PROD-007,Ergonomic Office Chair,3,09-01-2025 12:49,199,CUST-1148,United Kingdom
INV-536425,PROD-002,Mechanical Keyboard,2,09-01-2025 12:49,85,CUST-1148,United Kingdom
INV-536425,PROD-008,Laptop Stand,2,09-01-2025 12:49,29.99,CUST-1148,United Kingdom
INV-536426,PROD-001,Wireless Mouse,21,09-01-2025 13:17,25,CUST-1195,United Kingdom
INV-536426,PROD-006,Desk Mat,21,09-01-2025 13:17,15.5,CUST-1195,United Kingdom
INV-536426,PROD-003,USB-C Hub,14,09-01-2025 13:17,35,CUST-1195,United Kingdom
INV-536426,PROD-007,Ergonomic Office Chair,21,09-01-2025 13:17,199,CUST-1195,United Kingdom
INV-536427,PROD-002,Mechanical Keyboard,12,09-01-2025 13:56,85,CUST-1195,United Kingdom
INV-536428,PROD-006,Desk Mat,3,10-01-2025 09:16,15.5,CUST-1169,United Kingdom
INV-536429,PROD-004,27-inch Monitor,1,10-01-2025 10:16,249.99,CUST-1002,France
INV-536430,PROD-007,Ergonomic Office Chair,3,10-01-2025 10:57,199,CUST-1097,Germany
INV-536430,PROD-002,Mechanical Keyboard,2,10-01-2025 10:57,85,CUST-1097,Germany
INV-536431,PROD-006,Desk Mat,2,10-01-2025 11:37,15.5,CUST-1008,France
INV-536431,PROD-005,Bluetooth Headphones,2,10-01-2025 11:37,59.99,CUST-1008,France
INV-536431,PROD-002,Mechanical Keyboard,2,10-01-2025 11:37,85,CUST-1008,France
INV-536432,PROD-003,USB-C Hub,1,10-01-2025 13:45,35,CUST-1098,United Kingdom
INV-536433,PROD-004,27-inch Monitor,2,10-01-2025 14:26,249.99,CUST-1138,Germany
INV-536434,PROD-008,Laptop Stand,2,10-01-2025 14:37,29.99,CUST-1092,United Kingdom
INV-536434,PROD-004,27-inch Monitor,1,10-01-2025 14:37,249.99,CUST-1092,United Kingdom
INV-536435,PROD-001,Wireless Mouse,2,10-01-2025 14:56,25,CUST-1139,United Kingdom
INV-536436,PROD-007,Ergonomic Office Chair,1,10-01-2025 15:59,199,CUST-1129,United Kingdom
INV-536437,PROD-001,Wireless Mouse,2,10-01-2025 16:29,25,CUST-1194,United Kingdom
INV-536437,PROD-003,USB-C Hub,2,10-01-2025 16:29,35,CUST-1194,United Kingdom
INV-536437,PROD-002,Mechanical Keyboard,2,10-01-2025 16:29,85,CUST-1194,United Kingdom
INV-536437,PROD-007,Ergonomic Office Chair,3,10-01-2025 16:29,199,CUST-1194,United Kingdom
INV-536438,PROD-005,Bluetooth Headphones,1,11-01-2025 10:02,59.99,CUST-1148,Germany
INV-536438,PROD-002,Mechanical Keyboard,2,11-01-2025 10:02,85,CUST-1148,Germany
INV-536439,PROD-008,Laptop Stand,3,11-01-2025 11:57,29.99,CUST-1069,France
INV-536439,PROD-003,USB-C Hub,1,11-01-2025 11:57,35,CUST-1069,France
INV-536440,PROD-008,Laptop Stand,2,11-01-2025 13:07,29.99,CUST-1182,United Kingdom
INV-536440,PROD-006,Desk Mat,2,11-01-2025 13:07,15.5,CUST-1182,United Kingdom
INV-536440,PROD-004,27-inch Monitor,2,11-01-2025 13:07,249.99,CUST-1182,United Kingdom
INV-536440,PROD-007,Ergonomic Office Chair,1,11-01-2025 13:07,199,CUST-1182,United Kingdom
INV-536441,PROD-005,Bluetooth Headphones,2,11-01-2025 13:22,59.99,CUST-1132,France
INV-536441,PROD-003,USB-C Hub,3,11-01-2025 13:22,35,CUST-1132,France
INV-536441,PROD-008,Laptop Stand,1,11-01-2025 13:22,29.99,CUST-1132,France
INV-536441,PROD-006,Desk Mat,1,11-01-2025 13:22,15.5,CUST-1132,France
INV-536442,PROD-003,USB-C Hub,3,11-01-2025 13:37,35,CUST-1031,United Kingdom
INV-536443,PROD-008,Laptop Stand,1,11-01-2025 14:14,29.99,CUST-1088,United Kingdom
INV-536443,PROD-002,Mechanical Keyboard,2,11-01-2025 14:14,85,CUST-1088,United Kingdom
INV-536443,PROD-004,27-inch Monitor,3,11-01-2025 14:14,249.99,CUST-1088,United Kingdom
INV-536443,PROD-001,Wireless Mouse,3,11-01-2025 14:14,25,CUST-1088,United Kingdom
INV-536444,PROD-006,Desk Mat,3,11-01-2025 15:33,15.5,CUST-1194,United Kingdom
INV-536444,PROD-007,Ergonomic Office Chair,3,11-01-2025 15:33,199,CUST-1194,United Kingdom
INV-536444,PROD-003,USB-C Hub,1,11-01-2025 15:33,35,CUST-1194,United Kingdom
INV-536444,PROD-008,Laptop Stand,2,11-01-2025 15:33,29.99,CUST-1194,United Kingdom
INV-536445,PROD-002,Mechanical Keyboard,1,11-01-2025 15:54,85,CUST-1028,United Kingdom
INV-536445,PROD-001,Wireless Mouse,2,11-01-2025 15:54,25,CUST-1028,United Kingdom
INV-536445,PROD-003,USB-C Hub,3,11-01-2025 15:54,35,CUST-1028,United Kingdom
INV-536446,PROD-007,Ergonomic Office Chair,1,11-01-2025 16:07,199,CUST-1012,United Kingdom
INV-536446,PROD-008,Laptop Stand,1,11-01-2025 16:07,29.99,CUST-1012,United Kingdom
INV-536447,PROD-003,USB-C Hub,2,11-01-2025 17:11,35,CUST-1024,United Kingdom
INV-536447,PROD-008,Laptop Stand,3,11-01-2025 17:11,29.99,CUST-1024,United Kingdom
INV-536447,PROD-005,Bluetooth Headphones,3,11-01-2025 17:11,59.99,CUST-1024,United Kingdom
INV-536448,PROD-002,Mechanical Keyboard,12,11-01-2025 17:49,85,CUST-1025,United Kingdom
INV-536449,PROD-006,Desk Mat,8,12-01-2025 09:09,15.5,CUST-1130,United Kingdom
INV-536449,PROD-007,Ergonomic Office Chair,4,12-01-2025 09:09,199,CUST-1130,United Kingdom
INV-536449,PROD-002,Mechanical Keyboard,8,12-01-2025 09:09,85,CUST-1130,United Kingdom
INV-536450,PROD-001,Wireless Mouse,3,12-01-2025 09:41,25,CUST-1042,United Kingdom
INV-536450,PROD-007,Ergonomic Office Chair,2,12-01-2025 09:41,199,CUST-1042,United Kingdom
INV-536451,PROD-003,USB-C Hub,7,12-01-2025 11:41,35,CUST-1195,United Kingdom
INV-536451,PROD-001,Wireless Mouse,7,12-01-2025 11:41,25,CUST-1195,United Kingdom
INV-536452,PROD-008,Laptop Stand,3,12-01-2025 11:48,29.99,CUST-1016,France
INV-536452,PROD-003,USB-C Hub,1,12-01-2025 11:48,35,CUST-1016,France
INV-536453,PROD-002,Mechanical Keyboard,3,12-01-2025 11:56,85,CUST-1172,United Kingdom
INV-536453,PROD-005,Bluetooth Headphones,3,12-01-2025 11:56,59.99,CUST-1172,United Kingdom
INV-536453,PROD-004,27-inch Monitor,3,12-01-2025 11:56,249.99,CUST-1172,United Kingdom
INV-536454,PROD-007,Ergonomic Office Chair,3,12-01-2025 13:53,199,CUST-1009,Germany
INV-536454,PROD-005,Bluetooth Headphones,2,12-01-2025 13:53,59.99,CUST-1009,Germany
INV-536454,PROD-001,Wireless Mouse,2,12-01-2025 13:53,25,CUST-1009,Germany
INV-536454,PROD-003,USB-C Hub,2,12-01-2025 13:53,35,CUST-1009,Germany
INV-536455,PROD-006,Desk Mat,12,12-01-2025 15:16,15.5,CUST-1155,United Kingdom
INV-536455,PROD-004,27-inch Monitor,12,12-01-2025 15:16,249.99,CUST-1155,United Kingdom
INV-536455,PROD-002,Mechanical Keyboard,12,12-01-2025 15:16,85,CUST-1155,United Kingdom
INV-536455,PROD-005,Bluetooth Headphones,6,12-01-2025 15:16,59.99,CUST-1155,United Kingdom
INV-536456,PROD-003,USB-C Hub,2,12-01-2025 16:01,35,CUST-1183,Germany
INV-536457,PROD-003,USB-C Hub,2,12-01-2025 16:04,35,CUST-1096,United Kingdom
INV-536457,PROD-007,Ergonomic Office Chair,1,12-01-2025 16:04,199,CUST-1096,United Kingdom
INV-536457,PROD-006,Desk Mat,2,12-01-2025 16:04,15.5,CUST-1096,United Kingdom
INV-536458,PROD-005,Bluetooth Headphones,2,12-01-2025 16:18,59.99,CUST-1047,France
INV-536458,PROD-008,Laptop Stand,1,12-01-2025 16:18,29.99,CUST-1047,France
INV-536459,PROD-004,27-inch Monitor,12,12-01-2025 17:16,249.99,CUST-1050,Germany
INV-536459,PROD-005,Bluetooth Headphones,18,12-01-2025 17:16,59.99,CUST-1050,Germany
INV-536459,PROD-001,Wireless Mouse,12,12-01-2025 17:16,25,CUST-1050,Germany
INV-536459,PROD-003,USB-C Hub,12,12-01-2025 17:16,35,CUST-1050,Germany
INV-536460,PROD-002,Mechanical Keyboard,2,12-01-2025 17:44,85,CUST-1087,United Kingdom
INV-536461,PROD-008,Laptop Stand,2,13-01-2025 10:01,29.99,CUST-1029,France
INV-536461,PROD-005,Bluetooth Headphones,2,13-01-2025 10:01,59.99,CUST-1029,France
INV-536462,PROD-004,27-inch Monitor,12,13-01-2025 10:36,249.99,CUST-1105,France
INV-536463,PROD-006,Desk Mat,7,13-01-2025 13:25,15.5,CUST-1065,United Kingdom
INV-536463,PROD-007,Ergonomic Office Chair,21,13-01-2025 13:25,199,CUST-1065,United Kingdom
INV-536463,PROD-008,Laptop Stand,14,13-01-2025 13:25,29.99,CUST-1065,United Kingdom
INV-536463,PROD-003,USB-C Hub,21,13-01-2025 13:25,35,CUST-1065,United Kingdom
INV-536464,PROD-003,USB-C Hub,3,13-01-2025 13:25,35,CUST-1071,United Kingdom
INV-536464,PROD-006,Desk Mat,3,13-01-2025 13:25,15.5,CUST-1071,United Kingdom
INV-536464,PROD-004,27-inch Monitor,3,13-01-2025 13:25,249.99,CUST-1071,United Kingdom
INV-536464,PROD-005,Bluetooth Headphones,1,13-01-2025 13:25,59.99,CUST-1071,United Kingdom
INV-536465,PROD-004,27-inch Monitor,4,13-01-2025 15:56,249.99,CUST-1050,Germany
INV-536466,PROD-004,27-inch Monitor,3,13-01-2025 16:46,249.99,CUST-1194,Germany
INV-536466,PROD-002,Mechanical Keyboard,3,13-01-2025 16:46,85,CUST-1194,Germany
INV-536467,PROD-005,Bluetooth Headphones,3,13-01-2025 17:56,59.99,CUST-1132,United Kingdom
INV-536467,PROD-002,Mechanical Keyboard,1,13-01-2025 17:56,85,CUST-1132,United Kingdom
INV-536468,PROD-004,27-inch Monitor,1,14-01-2025 09:32,249.99,CUST-1029,United Kingdom
INV-536468,PROD-001,Wireless Mouse,3,14-01-2025 09:32,25,CUST-1029,United Kingdom
INV-536469,PROD-004,27-inch Monitor,2,14-01-2025 10:54,249.99,CUST-1172,France
INV-536469,PROD-008,Laptop Stand,2,14-01-2025 10:54,29.99,CUST-1172,France
INV-536470,PROD-007,Ergonomic Office Chair,6,14-01-2025 10:57,199,CUST-1060,United Kingdom
INV-536470,PROD-008,Laptop Stand,6,14-01-2025 10:57,29.99,CUST-1060,United Kingdom
INV-536470,PROD-004,27-inch Monitor,6,14-01-2025 10:57,249.99,CUST-1060,United Kingdom
INV-536471,PROD-007,Ergonomic Office Chair,2,14-01-2025 15:36,199,CUST-1092,France
INV-536471,PROD-005,Bluetooth Headphones,3,14-01-2025 15:36,59.99,CUST-1092,France
INV-536471,PROD-008,Laptop Stand,2,14-01-2025 15:36,29.99,CUST-1092,France
INV-536472,PROD-005,Bluetooth Headphones,1,14-01-2025 16:38,59.99,CUST-1111,United Kingdom
INV-536473,PROD-006,Desk Mat,2,14-01-2025 16:50,15.5,CUST-1154,United Kingdom
INV-536473,PROD-005,Bluetooth Headphones,2,14-01-2025 16:50,59.99,CUST-1154,United Kingdom
INV-536474,PROD-007,Ergonomic Office Chair,7,15-01-2025 09:06,199,CUST-1195,United Kingdom
INV-536474,PROD-002,Mechanical Keyboard,21,15-01-2025 09:06,85,CUST-1195,United Kingdom
INV-536474,PROD-006,Desk Mat,7,15-01-2025 09:06,15.5,CUST-1195,United Kingdom
INV-536474,PROD-008,Laptop Stand,21,15-01-2025 09:06,29.99,CUST-1195,United Kingdom
INV-536475,PROD-008,Laptop Stand,3,15-01-2025 09:45,29.99,CUST-1032,United Kingdom
INV-536475,PROD-001,Wireless Mouse,2,15-01-2025 09:45,25,CUST-1032,United Kingdom
INV-536476,PROD-008,Laptop Stand,1,15-01-2025 10:34,29.99,CUST-1166,United Kingdom
INV-536476,PROD-003,USB-C Hub,3,15-01-2025 10:34,35,CUST-1166,United Kingdom
INV-536476,PROD-002,Mechanical Keyboard,2,15-01-2025 10:34,85,CUST-1166,United Kingdom
INV-536477,PROD-004,27-inch Monitor,2,15-01-2025 11:47,249.99,CUST-1171,France
INV-536477,PROD-007,Ergonomic Office Chair,3,15-01-2025 11:47,199,CUST-1171,France
INV-536478,PROD-004,27-inch Monitor,3,15-01-2025 13:12,249.99,CUST-1148,United Kingdom
INV-536479,PROD-002,Mechanical Keyboard,1,15-01-2025 13:27,85,CUST-1029,Germany
INV-536479,PROD-006,Desk Mat,2,15-01-2025 13:27,15.5,CUST-1029,Germany
INV-536479,PROD-003,USB-C Hub,2,15-01-2025 13:27,35,CUST-1029,Germany
INV-536480,PROD-003,USB-C Hub,2,15-01-2025 13:43,35,CUST-1141,United Kingdom
INV-536480,PROD-005,Bluetooth Headphones,2,15-01-2025 13:43,59.99,CUST-1141,United Kingdom
INV-536480,PROD-008,Laptop Stand,1,15-01-2025 13:43,29.99,CUST-1141,United Kingdom
INV-536480,PROD-007,Ergonomic Office Chair,1,15-01-2025 13:43,199,CUST-1141,United Kingdom
