CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST-1174,3,6,3008.33,5,1,1,511,Recent/New Customers
CUST-1175,19,12,22602.45,4,3,5,435,Need Attention / Average
CUST-1176,236,9,4375.21,1,1,2,112,Lost Customers/ Hibernating
CUST-1177,9,15,7369.22,4,4,4,444,Champions
CUST-1178,19,15,7593.12,4,4,4,444,Champions
CUST-1179,57,11,5105.68,2,3,2,232,Need Attention / Average
CUST-1180,7,16,37450.25,5,5,5,555,Champions
CUST-1181,6,20,9253.14,5,5,4,554,Champions
CUST-1182,81,10,4157.84,1,2,2,122,Lost Customers/ Hibernating
CUST-1183,219,10,3445.32,1,2,1,121,Lost Customers/ Hibernating
CUST-1184,38,12,5959.21,2,3,3,233,At Risk/ Can't Lose Them
CUST-1185,6,13,35486.55,5,4,5,545,Champions
CUST-1186,2,15,8290.72,5,5,4,554,Champions
CUST-1187,19,21,7952.22,4,5,4,454,Champions
CUST-1188,12,24,11611.51,4,5,4,454,Champions
CUST-1189,12,11,6141.68,4,3,3,433,Need Attention / Average
CUST-1190,34,13,31575.36,2,4,5,245,At Risk/ Can't Lose Them
CUST-1191,4,20,9373.08,5,5,4,554,Champions
CUST-1192,116,13,3496.8,1,4,1,141,Need Attention / Average
CUST-1193,12,13,6288.21,4,4,3,443,Loyal Customers
CUST-1194,34,15,6362.77,2,5,3,253,At Risk/ Can't Lose Them
CUST-1195,35,12,22905.26,2,3,5,235,At Risk/ Can't Lose Them
CUST-1196,55,7,2868.91,2,1,1,211,Lost Customers/ Hibernating
CUST-1197,222,11,3753.3,1,3,1,131,Need Attention / Average
CUST-1198,67,9,2714.39,1,2,1,121,Lost Customers/ Hibernating
CUST-1199,35,8,2020.86,2,1,1,211,Lost Customers/ Hibernating
CUST-1200,24,14,30002.27,3,4,5,345,Loyal Customers
